id,title,genres,release_date,overview,production_countries,spoken_languages,budget,revenue
24621,Chasing Papi,"['Comedy', 'Romance']",2003-04-16,"Playboy Thomas Fuentes has so far been able to skate by in life on good looks and charm alone. But when his duplicitous relationships with three women -- impassioned waitress Cici, meticulous lawyer Lorena and bored socialite Patricia -- spiral out of control, he suffers a mental breakdown. His doctor recommends that he choose just one girlfriend -- but can he choose in time before they discover his deception?",['United States of America'],['English'],0,6126237.0
48118,The Cold Light of Day,"['Drama', 'Thriller']",1996-08-20,A troubled detective befriends a single woman and her daughter with the intention of using them as bait for a serial killer.,"['Germany', 'Netherlands', 'United Kingdom']",['English'],0,0.0
9503,Pope Joan,['Drama'],2009-10-22,A 9th century woman of English extraction born in the German city of Ingelheim disguises herself as a man and rises through the Vatican ranks.,"['Spain', 'Germany', 'United Kingdom', 'Italy']","['English', 'Latin']",0,27412220.0
436932,Jawbone,"['Action', 'Drama']",2017-05-12,"A former youth boxing champion, Jimmy McCabe is a man in search of hope but looking in all the wrong places. When he hits rock bottom he turns to his childhood boxing club and the only family he has left: gym owner Bill corner man Eddie and promoter Joe. Back in training, years after anyone thought he was a contender, he risks his life, as he tries to stand tall and regain his place in the world.",['United Kingdom'],['English'],0,0.0
