adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}]",,28046,tt0024055,en,The Ghoul,"British Egyptologist Professor Morlant finds a magic jewel in the tomb of an Oriental idol. This talisman is supposed to grant immortality to those who are buried with it. So Morlant arranges to have it put into his grave upon his demise. And woe to those who might double-cross him, for Morlant's spirit will arise to wreak vengeance on his betrayers...",1.380825,/eBbiC1MTRbglThsLVDVnX1uuPJh.jpg,"[{'name': 'Gaumont British Picture Corporation', 'id': 4978}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1933-08-01,0.0,77.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"From the Depths of the Earth, He Will Rise.",The Ghoul,False,5.0,13.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",,27112,tt0040246,en,Corridor of Mirrors,A man falls in love with a beautiful young woman and begins to suspect that he may have also loved her in a previous life.,0.482651,/jnuugSTRlyfEl3jk03P9tjlhXgv.jpg,"[{'name': 'Apollo Films', 'id': 49755}]",[],1948-07-24,0.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Corridor of Mirrors,False,5.1,3.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,250660,tt3263520,en,Ivory Tower,"As tuition spirals upward and student debt passes a trillion dollars, students and parents ask, ""Is college worth it?"" From the halls of Harvard to public and private colleges in financial crisis to education startups in Silicon Valley, an urgent portrait emerges of a great American institution at the breaking point.",0.935948,/qiYiBt8pEaMxXvQwNnmtTtHnWac.jpg,"[{'name': 'Participant Media', 'id': 6735}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-06-13,0.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Ivory Tower,False,7.1,9.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",,75404,tt0416960,en,مارمولک,"Reza is a petty thief who escapes jail by posing as a mullah. When he has to stay in disguise longer than he expected, he accidentally becomes the revered leader of a small-town mosque, bringing people flooding in with his on the hoof sermons featuring sexual innuendo and references to 'brother' Tarantino's Pulp Fiction.",0.509785,/6spQpEE6I1fE69oLsZgAbD3w1ZH.jpg,[],"[{'iso_3166_1': 'IR', 'name': 'Iran'}]",2004-03-31,0.0,115.0,"[{'iso_639_1': 'fa', 'name': 'فارسی'}]",Released,,The Lizard,False,5.5,10.0
False,,0,"[{'id': 12, 'name': 'Adventure'}]",,38662,tt0023038,en,The Hurricane Express,"The Wrecker wrecks trains on the L & R Railroad. One of his victims is Larry Baker's father. Baker wants to find the evildoer, among a host of suspects, but it will be difficult since the Wrecker can disguise himself to look like almost anyone",0.546163,/hlEV7CF74V72HVp2ZLW3OUYL3dx.jpg,"[{'name': 'Mascot Pictures', 'id': 4743}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-08-01,0.0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A CRASHING ADVENTURE SERIAL!,The Hurricane Express,False,4.9,7.0
